,text document,label
0,I love this sandwhich,pos
1,this is an amazing place,pos
2,I feel very good about these beers,pos
3,this is my best work,pos
4,what an awesom view,pos
5,I do not like this restaurent,neg
6,I am tired of this stuff,neg
7,I cant deal with this,neg
8,he is my sworn enemy,neg
9,my boss is horible,neg
10,this is an awesom place,pos
11,I do not like the taste of this juice,neg
12,I love to dance,pos
13,I am sick and tired of this place,neg
14,what a great holiday,pos
15,this is a bad locality to stay,neg
16,we will have good fun tomorrow,pos
17,I went to my enemy's home today,neg
